Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend,typical,ma14,standardDeviation
2018-07-25,1275.94,1252.62,1278.24,1249.05,2580000.0,7,2018,3291925200.0,0.01413980844891305,Slight or No change,1267.7433333333333,1200.1578571428581,33.092661737418176
2018-07-26,1285.5,1267.18,1287.4,1263.0,2730000.0,7,2018,3509415000.0,0.007492515322037097,Slight or No change,1278.6333333333334,1209.3811904761915,35.77546900090509
2018-07-27,1252.89,1289.12,1291.44,1244.49,2420000.0,7,2018,3031993800.0000005,-0.025367561260210003,Slight or No change,1262.9400000000003,1216.437857142858,35.90985153040307
2018-07-30,1230.04,1245.05,1252.89,1224.17,2190000.0,7,2018,2693787600.0,-0.018237834127497358,Slight or No change,1235.7,1221.2926190476198,33.319737975666996
2018-07-31,1227.22,1231.71,1241.21,1216.19,1970000.0,7,2018,2417623400.0,-0.0022926083704594147,Slight or No change,1228.2066666666667,1225.5152380952388,29.749890316955767
2018-08-01,1232.99,1239.11,1245.9,1224.94,1850000.0,8,2018,2281031500.0,0.004701683479734653,Slight or No change,1234.61,1228.5504761904772,28.208019041004462
2018-08-02,1241.13,1218.5,1244.41,1218.06,1740000.0,8,2018,2159566200.0,0.0066018378089036656,Slight or No change,1234.5333333333335,1230.7754761904769,27.2835554118224
2018-08-03,1238.16,1245.18,1246.52,1229.42,1060000.0,8,2018,1312449600.0,-0.002392980590268601,Slight or No change,1238.0333333333335,1233.5250000000008,25.79249194239738
2018-08-06,1237.67,1241.61,1242.46,1230.53,1110000.0,8,2018,1373813700.0,-0.00039574853007684485,Slight or No change,1236.8866666666665,1235.8302380952387,24.415163862547107
2018-08-07,1255.84,1252.01,1266.08,1251.8,2130000.0,8,2018,2674939200.0,0.01468081152488132,Slight or No change,1257.9066666666668,1239.036428571429,24.134956258806845
2018-08-08,1261.33,1256.72,1271.72,1252.12,1720000.0,8,2018,2169487600.0,0.004371575996942267,Slight or No change,1261.7233333333334,1243.1283333333336,22.626720107449916
2018-08-09,1264.46,1262.73,1271.96,1260.1,1370000.0,8,2018,1732310200.0,0.002481507614978007,Slight or No change,1265.5066666666667,1247.6826190476193,19.910484725767635
2018-08-10,1252.51,1259.18,1261.2,1247.16,1330000.0,8,2018,1665838300.0,-0.009450674596270359,Slight or No change,1253.6233333333332,1251.081666666667,15.914950921096024
2018-08-13,1248.64,1251.2,1265.97,1247.03,1380000.0,8,2018,1723123200.0000002,-0.003089795690253916,Slight or No change,1253.88,1250.7090476190479,15.773298352086117
2018-08-14,1258.14,1252.5,1260.59,1239.54,1400000.0,8,2018,1761396000.0000005,0.007608277806253172,Slight or No change,1252.756666666667,1249.6385714285718,15.018816956066898
2018-08-15,1232.22,1244.28,1251.98,1226.24,1850000.0,8,2018,2279607000.0,-0.02060184081262817,Slight or No change,1236.8133333333335,1246.651428571429,12.803879868341232
2018-08-16,1224.06,1241.99,1243.7,1219.63,1610000.0,8,2018,1970736600.0,-0.006622194088718003,Slight or No change,1229.1299999999999,1244.236428571429,12.683251117662108
2018-08-17,1215.85,1222.04,1226.95,1204.0,1650000.0,8,2018,2006152500.0,-0.006707187556165617,Slight or No change,1215.6,1242.8007142857148,14.701019685477439
2018-08-20,1221.95,1220.66,1225.91,1208.7,1110000.0,8,2018,1356364500.0,0.0050170662499486865,Slight or No change,1218.8533333333335,1242.1326190476195,15.600299919250633
2018-08-21,1217.41,1223.02,1232.76,1215.03,1150000.0,8,2018,1400021500.0,-0.003715372969434028,Slight or No change,1221.7333333333333,1241.2128571428577,16.43518561659369
2018-08-22,1221.75,1214.22,1226.53,1213.22,1110000.0,8,2018,1356142500.0,0.0035649452526265173,Slight or No change,1220.5,1240.2104761904768,17.280132896437845
2018-08-23,1221.16,1219.88,1235.17,1219.35,1230000.0,8,2018,1502026800.0,-0.00048291385307952517,Slight or No change,1225.2266666666667,1239.2957142857147,17.737180536447507
2018-08-24,1236.75,1226.0,1237.4,1221.42,1220000.0,8,2018,1508835000.0,0.012766549837859076,Slight or No change,1231.8566666666668,1238.9364285714291,17.84037591419589
