Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend
2018-10-04,1177.07,1205.03,1205.9,1163.85,2330000.0,10,2018,2742573100.0,-0.028443373255305326,Slight or No change
2018-10-03,1211.53,1212.0,1214.18,1202.15,1310000.0,10,2018,1587104300.0,0.003221158623430753,Slight or No change
2018-10-02,1207.64,1206.67,1224.52,1199.66,2009999.9999999998,10,2018,2427356400.0,-0.0007364318635034728,Slight or No change
2018-10-01,1208.53,1213.0,1224.2,1203.19,1660000.0,10,2018,2006159800.0,0.0012012459820394117,Slight or No change
2018-09-28,1207.08,1204.09,1208.45,1197.83,1780000.0,9,2018,2148602400.0,-0.0002319109461966784,Slight or No change
2018-09-27,1207.36,1200.0,1216.86,1198.05,1810000.0,9,2018,2185321600.0,0.011138468753663977,Slight or No change
2018-09-26,1194.06,1193.69,1207.24,1185.4,1880000.0,9,2018,2244832800.0,0.00014239167762508664,Slight or No change
2018-09-25,1193.89,1184.25,1196.86,1174.09,1660000.0,9,2018,1981857400.0000002,0.012148597782223991,Slight or No change
2018-09-24,1179.56,1159.41,1185.19,1151.5,1560000.0,9,2018,1840113600.0,0.006347472954987499,Slight or No change
2018-09-21,1172.12,1194.92,1196.58,1172.06,4560000.0,9,2018,5344867199.999999,-0.016323002425371658,Slight or No change
2018-09-20,1191.57,1180.67,1194.0,1176.25,1460000.0,9,2018,1739692200.0,0.014732557248333,Slight or No change
2018-09-19,1174.27,1168.96,1176.27,1158.62,1300000.0,9,2018,1526551000.0,0.006134811628724091,Slight or No change
2018-09-18,1167.11,1162.66,1181.33,1161.42,1620000.0,9,2018,1890718199.9999998,0.0062767819421811755,Slight or No change
2018-09-17,1159.83,1177.77,1181.82,1158.45,1700000.0,9,2018,1971710999.9999998,-0.015407731879997999,Slight or No change
2018-09-14,1177.98,1188.0,1188.0,1173.52,1210000.0,9,2018,1425355800.0,-0.003519041737865325,Slight or No change
2018-09-13,1182.14,1179.7,1187.86,1169.22,2000000.0,9,2018,2364280000.0,0.00899624445203151,Slight or No change
2018-09-12,1171.6,1182.0,1190.69,1166.16,1790000.0,9,2018,2097163999.9999998,-0.015453911377406593,Slight or No change
2018-09-11,1189.99,1171.1,1190.94,1165.95,1460000.0,9,2018,1737385400.0,0.012705734175276318,Slight or No change
2018-09-10,1175.06,1184.2,1186.66,1170.61,1380000.0,9,2018,1621582800.0,-0.002148455744359179,Slight or No change
2018-09-07,1177.59,1172.0,1188.55,1169.27,1630000.0,9,2018,1919471699.9999998,-0.005405451059552924,Slight or No change
2018-09-06,1183.99,1198.57,1198.99,1163.61,2340000.0,9,2018,2770536600.0,-0.0126011175047952,Slight or No change
2018-09-05,1199.1,1209.22,1214.87,1175.34,2700000.0,9,2018,3237569999.9999995,-0.010079996037347994,Slight or No change
2018-09-04,1211.31,1222.52,1227.87,1206.56,2069999.9999999998,9,2018,2507411699.9999995,-0.01663419386264009,Slight or No change
2018-08-31,1231.8,1252.21,1252.55,1225.75,2120000.0,8,2018,2611416000.0,-0.018047893880934973,Slight or No change
2018-08-30,1254.44,1263.4,1269.49,1247.21,1510000.0,8,2018,1894204400.0,-0.00807337998655755,Slight or No change
2018-08-29,1264.65,1255.0,1267.17,1252.8,1850000.0,8,2018,2339602500.0,0.015081951423113527,Slight or No change
2018-08-28,1245.86,1255.9,1256.56,1242.97,1370000.0,8,2018,1706828199.9999998,-0.008286435240832057,Slight or No change
2018-08-27,1256.27,1244.14,1257.87,1240.68,1430000.0,8,2018,1796466100.0,0.01578330301192632,Slight or No change
2018-08-24,1236.75,1226.0,1237.4,1221.42,1220000.0,8,2018,1508835000.0,0.012766549837859076,Slight or No change
2018-08-23,1221.16,1219.88,1235.17,1219.35,1230000.0,8,2018,1502026800.0,-0.00048291385307952517,Slight or No change
2018-08-22,1221.75,1214.22,1226.53,1213.22,1110000.0,8,2018,1356142500.0,0.003564945252626517,Slight or No change
